LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2026-05-15 10:36:10,1900-01-00 00:00:00,,40:86:CB:27:D2:0C,-57, ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:36:10,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-53, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:36:10,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-65, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:36:10,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:36:10,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-23, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:36:11,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:36:11,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-27, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:36:11,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-25, WPA2 ,0.000000,0.000000,0.000,0.000,AP
