LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2026-05-15 10:56:58,1900-01-00 00:00:00,,40:86:CB:27:D2:0C,-59, ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-59,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-59,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-59,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-59,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-59,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-59,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-59,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-59,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-59,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-59,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-59,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-59,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-59,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-59,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-59,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-59,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-59,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-59,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-59,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-59,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-59,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-59,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-59,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-59, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-63,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-63,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-63,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-63,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-63,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-63,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-63,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-63,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-63,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-63,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-63,,0.000000,0.000000,0.000,0.000,Client
2026-05-15 10:56:58,1900-01-00 00:00:00,dlink-615_EXT,40:86:CB:27:D2:0C,-63, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2026-05-15 10:56:58,1900-01-00 00:00:00,,9C:2F:9D:82:20:A3,-63,,0.000000,0.000000,0.000,0.000,Client
